expression,meaning,example,domain
epo@pty,"priority, importance level of epoch, period",epo@pty,temporal
equ@bad,"bad form of equation, equality","equ@bad = bad equation, equality",abstract
equ@bea,"beautiful form of equation, equality","equ@bea = beautiful equation, equality",abstract
equ@con,"contraction form of equation, equality","equ@con = contraction equation, equality",abstract
equ@goo,"good form of equation, equality","equ@goo = good equation, equality",abstract
equ@imp,"implode, collapse form of equation, equality","equ@imp = implode, collapse equation, equality",abstract
equ@nec,"neck, connect form of equation, equality","equ@nec = neck, connect equation, equality",abstract
equ@per,"perceive, sense form of equation, equality","equ@per = perceive, sense equation, equality",abstract
equ@slo,"slope, incline form of equation, equality","equ@slo = slope, incline equation, equality",abstract
equ@str,"strong form of equation, equality","equ@str = strong equation, equality",abstract
equ@wea,"weak form of equation, equality","equ@wea = weak equation, equality",abstract
ergo@wes,"west, sunset-direction of therefore, consequently, thus",ergo@wes,abstract
est@tha,"than, compared to of estimate, calculated guess",est@tha,abstract
eta@dan,"dance, movement of eta, efficiency",eta@dan,abstract
eve@lux,"light-related of every, universal distributive",eve@lux,abstract
evo@fes,"festival, celebration, holiday of evolution",evo@fes,temporal
exc@umm,"ummah, community of faith of excitement",exc@umm,cognitive
eye@hea,healthy of eye,eye@hea,living
eye@old,old of eye,eye@old,living
eye@rep,"reptile, cold-blood of eye",eye@rep,living
fai@gre,"greedy, selfish aspect of fair, just",fai@gre,social
fai@hel,"helping aspect of fair, just",fai@hel,social
fai@hon,"honest, truthful aspect of fair, just",fai@hon,social
fai@hur,"hurting aspect of fair, just",fai@hur,social
fai@kin,"kind, gentle aspect of fair, just",fai@kin,social
fai@lea,"leader aspect of fair, just",fai@lea,social
fai@los,"loss, defeat aspect of fair, just",fai@los,social
fai@loy,"loyal, faithful aspect of fair, just",fai@loy,social
fai@obe,"obeying aspect of fair, just",fai@obe,social
fai@oth,"other aspect of fair, just",fai@oth,social
fai@par,"parent aspect of fair, just",fai@par,social
fai@pro,"protecting aspect of fair, just",fai@pro,social
fai@pun,"punish, penalty aspect of fair, just",fai@pun,social
fal@pub,"public, open of failure, decline, sunset",fal@pub,abstract
fam@gre,"greedy, selfish aspect of family",fam@gre,social
fam@hel,helping aspect of family,fam@hel,social
fam@hon,"honest, truthful aspect of family",fam@hon,social
fam@hur,hurting aspect of family,fam@hur,social
fam@kin,"kind, gentle aspect of family",fam@kin,social
fam@lea,leader aspect of family,fam@lea,social
fam@los,"loss, defeat aspect of family",fam@los,social
fam@loy,"loyal, faithful aspect of family",fam@loy,social
fam@obe,obeying aspect of family,fam@obe,social
fam@oth,other aspect of family,fam@oth,social
fam@par,parent aspect of family,fam@par,social
fam@pro,protecting aspect of family,fam@pro,social
fam@pun,"punish, penalty aspect of family",fam@pun,social
far@cen,center from far,far@cen = spatial relationship,spatial
far@dow,downward from far,far@dow = spatial relationship,spatial
far@edg,edge from far,far@edg = spatial relationship,spatial
far@ins,inside from far,far@ins = spatial relationship,spatial
far@nea,near from far,far@nea = spatial relationship,spatial
far@out,outside from far,far@out = spatial relationship,spatial
far@up,upward from far,far@up = spatial relationship,spatial
fee@alt,"alternatively, or else, anothe of feeling",fee@alt,cognitive
fee@rev,"perceive revision: reconsidering, backtracki through feeling",fee@rev,cognitive
fee@rsn,"perceive resonant, feels right (LLM success  through feeling",fee@rsn,cognitive
fee@sed,"perceive seed, origin through feeling",fee@sed,cognitive
fee@see,perceive seeing through feeling,fee@see,cognitive
fee@seh,"perceive see, perceive visually through feeling",fee@seh,cognitive
fee@sme,perceive smelling through feeling,fee@sme,cognitive
fee@src,"perceive search, seek, look for through feeling",fee@src,cognitive
fes@wol,"wolf of festival, celebration, holiday",fes@wol,abstract
few@net,"network, connected of few, some",few@net,abstract
fht@bee,"beer, brewed of fight, combat, struggle",fht@bee,action
fht@dee,"execute fight, combat, struggle in deep, profound, thorough manner",fht@dee,action
fht@dil,"execute fight, combat, struggle in diligence, hard work manner",fht@dil,action
fht@dro,"execute fight, combat, struggle in drought, dry manner",fht@dro,action
fht@flu,"execute fight, combat, struggle in fluent, smooth generation (LLM succ manner",fht@flu,action
fht@grd,"execute fight, combat, struggle in gradual, slow change manner",fht@grd,action
fht@har,"execute fight, combat, struggle in hard, resistant manner",fht@har,action
fht@jet,"execute fight, combat, struggle in jet, fast plane manner",fht@jet,action
fht@jnz,"execute fight, combat, struggle in noble person, gentleman, moral exem manner",fht@jnz,action
fht@kin,"execute fight, combat, struggle in kind, gentle manner",fht@kin,action
fht@nai,"execute fight, combat, struggle in nail, fasten manner",fht@nai,action
fht@nud,"execute fight, combat, struggle in nudge, gentle wake manner",fht@nud,action
fht@rou,"execute fight, combat, struggle in rough manner",fht@rou,action
fht@ruf,"execute fight, combat, struggle in rough, coarse, uneven texture manner",fht@ruf,action
fht@run,"execute fight, combat, struggle in run, fast move manner",fht@run,action
fht@sim,"execute fight, combat, struggle in easy, simple manner",fht@sim,action
fht@tnv,"tentative, held lightly of fight, combat, struggle",fht@tnv,action
fil@pas,"past of file, document",fil@pas,abstract
fil@sta,"stability of file, document",fil@sta,abstract
fin@bad,"bad form of finger, touch","fin@bad = bad finger, touch",abstract
fin@bea,"beautiful form of finger, touch","fin@bea = beautiful finger, touch",abstract
fin@con,"contraction form of finger, touch","fin@con = contraction finger, touch",abstract
fin@goo,"good form of finger, touch","fin@goo = good finger, touch",abstract
fin@imp,"implode, collapse form of finger, touch","fin@imp = implode, collapse finger, touch",abstract
fin@nec,"neck, connect form of finger, touch","fin@nec = neck, connect finger, touch",abstract
fin@per,"perceive, sense form of finger, touch","fin@per = perceive, sense finger, touch",abstract
fin@slo,"slope, incline form of finger, touch","fin@slo = slope, incline finger, touch",abstract
fin@str,"strong form of finger, touch","fin@str = strong finger, touch",abstract
fin@wea,"weak form of finger, touch","fin@wea = weak finger, touch",abstract
fis@bad,bad fish,fis@bad = type of fish,living
fis@bea,beautiful fish,fis@bea = type of fish,living
fis@cat,"how fish can catalyst, accelerator",fis@cat = capability,living
fis@con,contraction fish,fis@con = type of fish,living
fis@goo,good fish,fis@goo = type of fish,living
fis@hea,healthy of fish,fis@hea,living
fis@imp,"implode, collapse fish",fis@imp = type of fish,living
fis@jum,"how fish can jump, leap",fis@jum = capability,living
fis@lea,how fish can leader,fis@lea = capability,living
fis@nec,"neck, connect fish",fis@nec = type of fish,living
fis@old,old of fish,fis@old,living
fis@per,"perceive, sense fish",fis@per = type of fish,living
fis@pul,how fish can pulling,fis@pul = capability,living
fis@pus,how fish can pushing,fis@pus = capability,living
fis@rep,"reptile, cold-blood of fish",fis@rep,living
fis@run,"how fish can run, fast move",fis@run = capability,living
fis@slo,"slope, incline fish",fis@slo = type of fish,living
fis@str,strong fish,fis@str = type of fish,living
fis@thr,"how fish can thread, string",fis@thr = capability,living
fis@wal,"how fish can wall, barrier",fis@wal = capability,living
fis@wea,weak fish,fis@wea = type of fish,living
fix@dee,"execute fix, repair, mend in deep, profound, thorough manner",fix@dee,action
fix@dil,"execute fix, repair, mend in diligence, hard work manner",fix@dil,action
fix@dro,"execute fix, repair, mend in drought, dry manner",fix@dro,action
fix@flu,"execute fix, repair, mend in fluent, smooth generation (LLM succ manner",fix@flu,action
fix@grd,"execute fix, repair, mend in gradual, slow change manner",fix@grd,action
fix@har,"execute fix, repair, mend in hard, resistant manner",fix@har,action
fix@jet,"execute fix, repair, mend in jet, fast plane manner",fix@jet,action
fix@jnz,"execute fix, repair, mend in noble person, gentleman, moral exem manner",fix@jnz,action
fix@kin,"execute fix, repair, mend in kind, gentle manner",fix@kin,action
fix@nai,"execute fix, repair, mend in nail, fasten manner",fix@nai,action
fix@nud,"execute fix, repair, mend in nudge, gentle wake manner",fix@nud,action
fix@rou,"execute fix, repair, mend in rough manner",fix@rou,action
fix@ruf,"execute fix, repair, mend in rough, coarse, uneven texture manner",fix@ruf,action
fix@run,"execute fix, repair, mend in run, fast move manner",fix@run,action
fix@sim,"execute fix, repair, mend in easy, simple manner",fix@sim,action
fli@thn,"thin, narrow, slender of flip, turn over",fli@thn,spatial
flo@add,"addition, plus of flowing",flo@add,physical
flo@bad,bad flowing,flo@bad = type of flowing,living
flo@bea,beautiful flowing,flo@bea = type of flowing,living
flo@cat,"how flowing can catalyst, accelerator",flo@cat = capability,living
flo@con,contraction flowing,flo@con = type of flowing,living
flo@goo,good flowing,flo@goo = type of flowing,living
flo@imp,"implode, collapse flowing",flo@imp = type of flowing,living
flo@jum,"how flowing can jump, leap",flo@jum = capability,living
flo@lea,how flowing can leader,flo@lea = capability,living
flo@nec,"neck, connect flowing",flo@nec = type of flowing,living
flo@per,"perceive, sense flowing",flo@per = type of flowing,living
flo@pul,how flowing can pulling,flo@pul = capability,living
flo@pus,how flowing can pushing,flo@pus = capability,living
flo@run,"how flowing can run, fast move",flo@run = capability,living
flo@slo,"slope, incline flowing",flo@slo = type of flowing,living
flo@str,strong flowing,flo@str = type of flowing,living
flo@thr,"how flowing can thread, string",flo@thr = capability,living
flo@wal,"how flowing can wall, barrier",flo@wal = capability,living
flo@wea,weak flowing,flo@wea = type of flowing,living
fnd@dee,"execute find, discover, locate in deep, profound, thorough manner",fnd@dee,action
fnd@dil,"execute find, discover, locate in diligence, hard work manner",fnd@dil,action
fnd@dro,"execute find, discover, locate in drought, dry manner",fnd@dro,action
fnd@flu,"execute find, discover, locate in fluent, smooth generation (LLM succ manner",fnd@flu,action
fnd@gam,"gamma, third of find, discover, locate",fnd@gam,action
fnd@grd,"execute find, discover, locate in gradual, slow change manner",fnd@grd,action
fnd@har,"execute find, discover, locate in hard, resistant manner",fnd@har,action
fnd@jet,"execute find, discover, locate in jet, fast plane manner",fnd@jet,action
fnd@jnz,"execute find, discover, locate in noble person, gentleman, moral exem manner",fnd@jnz,action
fnd@kin,"execute find, discover, locate in kind, gentle manner",fnd@kin,action
fnd@nai,"execute find, discover, locate in nail, fasten manner",fnd@nai,action
fnd@nud,"execute find, discover, locate in nudge, gentle wake manner",fnd@nud,action
fnd@rou,"execute find, discover, locate in rough manner",fnd@rou,action
fnd@ruf,"execute find, discover, locate in rough, coarse, uneven texture manner",fnd@ruf,action
fnd@run,"execute find, discover, locate in run, fast move manner",fnd@run,action
fnd@sim,"execute find, discover, locate in easy, simple manner",fnd@sim,action
fol@gre,"greedy, selfish aspect of follower",fol@gre,social
fol@hel,helping aspect of follower,fol@hel,social
fol@hon,"honest, truthful aspect of follower",fol@hon,social
fol@hur,hurting aspect of follower,fol@hur,social
fol@kin,"kind, gentle aspect of follower",fol@kin,social
fol@lea,leader aspect of follower,fol@lea,social
fol@los,"loss, defeat aspect of follower",fol@los,social
fol@loy,"loyal, faithful aspect of follower",fol@loy,social
fol@obe,obeying aspect of follower,fol@obe,social
fol@oth,other aspect of follower,fol@oth,social
fol@par,parent aspect of follower,fol@par,social
fol@pro,protecting aspect of follower,fol@pro,social
fol@pun,"punish, penalty aspect of follower",fol@pun,social
foo@hea,healthy of foot,foo@hea,living
foo@old,old of foot,foo@old,living
foo@rep,"reptile, cold-blood of foot",foo@rep,living
fox@hea,"healthy of fox, canine",fox@hea,living
fox@old,"old of fox, canine",fox@old,living
fox@rep,"reptile, cold-blood of fox, canine",fox@rep,living
fox@rig,"right of fox, canine",fox@rig,living
frb@eat,"eat, consume of forbid, prohibit, disallow",frb@eat,abstract
fre@bad,bad aspect of freezing,fre@bad = describes freezing,spatial
fre@bea,beautiful aspect of freezing,fre@bea = describes freezing,spatial
fre@con,contraction aspect of freezing,fre@con = describes freezing,spatial
fre@goo,good aspect of freezing,fre@goo = describes freezing,spatial
fre@imp,"implode, collapse aspect of freezing",fre@imp = describes freezing,spatial
fre@lan,"land, arrive within freezing",fre@lan = location combination,spatial
fre@mak,"make, create, produce of freezing",fre@mak,physical
fre@mou,mouth within freezing,fre@mou = location combination,spatial
fre@nec,"neck, connect aspect of freezing",fre@nec = describes freezing,spatial
fre@per,"perceive, sense aspect of freezing",fre@per = describes freezing,spatial
fre@riv,"river, stream within freezing",fre@riv = location combination,spatial
fre@sea,"season, time within freezing",fre@sea = location combination,spatial
fre@sky,"sky, above within freezing",fre@sky = location combination,spatial
fre@slo,"slope, incline aspect of freezing",fre@slo = describes freezing,spatial
fre@str,strong aspect of freezing,fre@str = describes freezing,spatial
fre@val,"valley, low point within freezing",fre@val = location combination,spatial
fre@wea,weak aspect of freezing,fre@wea = describes freezing,spatial
fre@woo,wood/plant matter within freezing,fre@woo = location combination,spatial
fri@gre,"greedy, selfish aspect of friend",fri@gre,social
fri@hel,helping aspect of friend,fri@hel,social
fri@hon,"honest, truthful aspect of friend",fri@hon,social
fri@hur,hurting aspect of friend,fri@hur,social
fri@hwy,"highway, road of friend",fri@hwy,social
fri@kin,"kind, gentle aspect of friend",fri@kin,social
fri@lea,leader aspect of friend,fri@lea,social
fri@lit,"light, weightless of friend",fri@lit,social
fri@los,"loss, defeat aspect of friend",fri@los,social
fri@loy,"loyal, faithful aspect of friend",fri@loy,social
fri@obe,obeying aspect of friend,fri@obe,social
fri@oth,other aspect of friend,fri@oth,social
fri@par,parent aspect of friend,fri@par,social
fri@pro,protecting aspect of friend,fri@pro,social
fri@pun,"punish, penalty aspect of friend",fri@pun,social
fro@bac,contrast between in front and backward,fro@bac,abstract
fro@end,contrast between in front and ending,fro@end,abstract
fru@fly,"fly, airborne of fruit, produce",fru@fly,living
fru@hea,"healthy of fruit, produce",fru@hea,living
fru@old,"old of fruit, produce",fru@old,living
fru@rep,"reptile, cold-blood of fruit, produce",fru@rep,living
ful@ang,"anger of full, complete","ful@ang = how full, complete feels",emotion
ful@cal,"calm of full, complete","ful@cal = how full, complete feels",emotion
ful@des,"desire, want strongly, crave of full, complete","ful@des = how full, complete feels",emotion
ful@dia,"diameter, across of full, complete","ful@dia = how full, complete feels",emotion
ful@gra,"grass, lawn of full, complete","ful@gra = how full, complete feels",emotion
ful@hop,"hope of full, complete","ful@hop = how full, complete feels",emotion
ful@joy,"joy of full, complete","ful@joy = how full, complete feels",emotion
ful@lov,"love of full, complete","ful@lov = how full, complete feels",emotion
ful@sad,"sadness of full, complete","ful@sad = how full, complete feels",emotion
ful@wro,"wrong, incorrect, mistaken of full, complete","ful@wro = how full, complete feels",emotion
fut@age,agent aspect of future,fut@age = temporal relationship,temporal
fut@alw,always aspect of future,fut@alw = temporal relationship,temporal
fut@dur,"duration, time span, interval aspect of future",fut@dur = temporal relationship,temporal
fut@mom,"moment, instant aspect of future",fut@mom = temporal relationship,temporal
fut@now,present moment aspect of future,fut@now = temporal relationship,temporal
fut@pas,past aspect of future,fut@pas = temporal relationship,temporal
fut@yet,"yet, still, up to now aspect of future",fut@yet = temporal relationship,temporal
gap@agg,"aggregate, combine, summarize  of gap, space between",gap@agg,spatial
gar@ale,"aleatoric uncertainty (inheren of garden, plants",gar@ale,abstract
gen@hea,"healthy of gene, heredity",gen@hea,living
gen@old,"old of gene, heredity",gen@old,living
gen@rep,"reptile, cold-blood of gene, heredity",gen@rep,living
gen@swa,"swamp, wetland of gene, heredity",gen@swa,living
giv@gre,"greedy, selfish aspect of giving",giv@gre,social
giv@hel,helping aspect of giving,giv@hel,social
giv@hon,"honest, truthful aspect of giving",giv@hon,social
giv@hur,hurting aspect of giving,giv@hur,social
giv@kin,"kind, gentle aspect of giving",giv@kin,social
giv@lea,leader aspect of giving,giv@lea,social
giv@los,"loss, defeat aspect of giving",giv@los,social
giv@loy,"loyal, faithful aspect of giving",giv@loy,social
giv@obe,obeying of giving,giv@obe,social
giv@oth,other aspect of giving,giv@oth,social
giv@par,parent aspect of giving,giv@par,social
giv@pro,protecting aspect of giving,giv@pro,social
giv@pun,"punish, penalty aspect of giving",giv@pun,social
giv@why,"why, reason, cause of giving",giv@why,social
gla@wud,"wood, timber, woody material of glass/transparency",gla@wud,physical
glo@trd,"tradition, inherited practice of glove, hand",glo@trd,abstract
goa@hea,"healthy of goat, caprine",goa@hea,living
goa@hun,"hunger, appetite of goat, caprine",goa@hun,living
goa@old,"old of goat, caprine",goa@old,living
goa@rep,"reptile, cold-blood of goat, caprine",goa@rep,living
goo@bad,bad form of good,goo@bad = combined quality,abstract
goo@bea,beautiful form of good,goo@bea = combined quality,abstract
goo@con,contraction form of good,goo@con = combined quality,abstract
goo@imp,"implode, collapse form of good",goo@imp = combined quality,abstract
goo@nec,"neck, connect form of good",goo@nec = combined quality,abstract
goo@per,"perceive, sense form of good",goo@per = combined quality,abstract
goo@str,strong form of good,goo@str = combined quality,abstract
gra@ang,"anger within grass, lawn",gra@ang = emotional layering,emotion
gra@cal,"calm within grass, lawn",gra@cal = emotional layering,emotion
gra@cat,"catalyst, accelerator with grass, lawn",gra@cat = emotionally charged action,emotion
gra@des,"desire, want strongly, crave within grass, lawn",gra@des = emotional layering,emotion
gra@dia,"diameter, across within grass, lawn",gra@dia = emotional layering,emotion
gra@hea,"healthy of grass, lawn",gra@hea,living
gra@hop,"hope within grass, lawn",gra@hop = emotional layering,emotion
gra@joy,"joy within grass, lawn",gra@joy = emotional layering,emotion
gra@jum,"jump, leap with grass, lawn",gra@jum = emotionally charged action,emotion
gra@kin,"bittersweet blend: kind, gentle in grass, lawn",gra@kin,emotion
gra@lea,"leader with grass, lawn",gra@lea = emotionally charged action,emotion
gra@lov,"love within grass, lawn",gra@lov = emotional layering,emotion
gra@old,"old of grass, lawn",gra@old,living
gra@pru,"bittersweet blend: prudence, wisdom in action in grass, lawn",gra@pru,emotion
gra@pul,"pulling with grass, lawn",gra@pul = emotionally charged action,emotion
gra@pus,"pushing with grass, lawn",gra@pus = emotionally charged action,emotion
gra@rep,"reptile, cold-blood of grass, lawn",gra@rep,living
gra@run,"run, fast move with grass, lawn",gra@run = emotionally charged action,emotion
gra@sad,"sadness within grass, lawn",gra@sad = emotional layering,emotion
gra@sec,"secret, hidden of grass, lawn",gra@sec,living
gra@thr,"thread, string with grass, lawn",gra@thr = emotionally charged action,emotion
gra@wal,"wall, barrier with grass, lawn",gra@wal = emotionally charged action,emotion
gra@wro,"wrong, incorrect, mistaken within grass, lawn",gra@wro = emotional layering,emotion
grd@ena,"enable, make possible, allow of gradual, slow change",grd@ena,temporal
gro@bad,"bad form of learning, relationship deepening","gro@bad = bad learning, relationship deepening",abstract
gro@bea,"beautiful form of learning, relationship deepening","gro@bea = beautiful learning, relationship deepening",abstract
gro@con,"contraction form of learning, relationship deepening","gro@con = contraction learning, relationship deepening",abstract
gro@dec,"contrast between learning, relationship deepening and decay",gro@dec,abstract
gro@goo,"good form of learning, relationship deepening","gro@goo = good learning, relationship deepening",abstract
gro@imp,"implode, collapse form of learning, relationship deepening","gro@imp = implode, collapse learning, relationship deepening",abstract
gro@nec,"neck, connect form of learning, relationship deepening","gro@nec = neck, connect learning, relationship deepening",abstract
gro@per,"perceive, sense form of learning, relationship deepening","gro@per = perceive, sense learning, relationship deepening",abstract
gro@slo,"slope, incline form of learning, relationship deepening","gro@slo = slope, incline learning, relationship deepening",abstract
gro@str,"strong form of learning, relationship deepening","gro@str = strong learning, relationship deepening",abstract
gro@wea,"weak form of learning, relationship deepening","gro@wea = weak learning, relationship deepening",abstract
gua@ash,"ash, burnt residue of guanxi, social connections",gua@ash,abstract
gua@lnk,"linked, correlated dimensions  of guanxi, social connections",gua@lnk,abstract
gue@acr,"across, from one side to other of guess, conjecture\evid",gue@acr,cognitive
gue@lgs,"logos, reason, word, rational  of guess, conjecture\evid",gue@lgs,cognitive
gue@rai,"rain, precipitation of guess, conjecture\evid",gue@rai,cognitive
gvn@dpt,"depth of understanding (LLM su of:that, assuming, premise",gvn@dpt,abstract
hai@hea,"healthy of hair, fur",hai@hea,living
hai@old,"old of hair, fur",hai@old,living
hai@rep,"reptile, cold-blood of hair, fur",hai@rep,living
hal@lgs,"logos, reason, word, rational  of half, partial",hal@lgs,abstract
han@hea,healthy of hand,han@hea,living
han@old,old of hand,han@old,living
han@rep,"reptile, cold-blood of hand",han@rep,living
har@col,"distant, aloof, calm variant of hard, resistant",har@col = property blend,physical
har@hot,"passion, anger, urgency variant of hard, resistant",har@hot = property blend,physical
har@sof,"soft, yielding variant of hard, resistant",har@sof = property blend,physical
har@tex,"texture, feel variant of hard, resistant",har@tex = property blend,physical
har@wai,"wait, pause, delay variant of hard, resistant",har@wai = property blend,physical
hat@lov,balance of love in hate,hat@lov,abstract
hav@fnd,"find, discover, locate of have, possess, contain",hav@fnd,abstract
hbt@rev,"perceive revision: reconsidering, backtracki through heartbeat, periodic alive",hbt@rev,cognitive
hbt@rsn,"perceive resonant, feels right (LLM success  through heartbeat, periodic alive",hbt@rsn,cognitive
hbt@sed,"perceive seed, origin through heartbeat, periodic alive",hbt@sed,cognitive
hbt@see,"perceive seeing through heartbeat, periodic alive",hbt@see,cognitive
hbt@seh,"perceive see, perceive visually through heartbeat, periodic alive",hbt@seh,cognitive
hbt@sme,"perceive smelling through heartbeat, periodic alive",hbt@sme,cognitive
hbt@src,"perceive search, seek, look for through heartbeat, periodic alive",hbt@src,cognitive
hea@old,old of healthy,hea@old,living
hea@rep,"reptile, cold-blood of healthy",hea@rep,living
hei@res,"rest, stillness of height, tall",hei@res,spatial
hei@thi,"thinking of height, tall",hei@thi,spatial
hex@crrt,"carrot of hexagon, six",hex@crrt,spatial
hex@opn,"open, pre-crystallization stat of hexagon, six",hex@opn,spatial
hid@ang,express anger through hiding,hid@ang,communication
hid@cal,express calm through hiding,hid@cal,communication
hid@con,express contraction through hiding,hid@con,communication
hid@fru,"express fruit, produce through hiding",hid@fru,communication
hid@joy,express joy through hiding,hid@joy,communication
hid@sad,express sadness through hiding,hid@sad,communication
hig@ext,"extremely, very much, to great of high, elevated",hig@ext,spatial
hig@iff,"if-then, conditional of high, elevated",hig@iff,spatial
hil@ver,"verified, confirmed true of hill, elevation",hil@ver,abstract
hns@but,"butterfly, insect of honesty, truthfulness",hns@but,abstract
hok@sys,"system, software system of hook, attach work",hok@sys,abstract
hol@dee,"execute hold, grasp in deep, profound, thorough manner",hol@dee,action
hol@dil,"execute hold, grasp in diligence, hard work manner",hol@dil,action
hol@dro,"execute hold, grasp in drought, dry manner",hol@dro,action
hol@flu,"execute hold, grasp in fluent, smooth generation (LLM succ manner",hol@flu,action
hol@grd,"execute hold, grasp in gradual, slow change manner",hol@grd,action
hol@har,"execute hold, grasp in hard, resistant manner",hol@har,action
hol@jet,"execute hold, grasp in jet, fast plane manner",hol@jet,action
hol@jnz,"execute hold, grasp in noble person, gentleman, moral exem manner",hol@jnz,action
hol@kin,"execute hold, grasp in kind, gentle manner",hol@kin,action
hol@maj,"major, primary dimension of va of hold, grasp",hol@maj,action
hol@nai,"execute hold, grasp in nail, fasten manner",hol@nai,action
hol@nud,"execute hold, grasp in nudge, gentle wake manner",hol@nud,action
hol@rou,"execute hold, grasp in rough manner",hol@rou,action
hol@ruf,"execute hold, grasp in rough, coarse, uneven texture manner",hol@ruf,action
hol@run,"execute hold, grasp in run, fast move manner",hol@run,action
hol@sim,"execute hold, grasp in easy, simple manner",hol@sim,action
hop@ang,anger within hope,hop@ang = emotional layering,emotion
hop@cal,calm within hope,hop@cal = emotional layering,emotion
hop@cat,"catalyst, accelerator with hope",hop@cat = emotionally charged action,emotion
hop@des,"desire, want strongly, crave within hope",hop@des = emotional layering,emotion
hop@dia,"diameter, across within hope",hop@dia = emotional layering,emotion
hop@gra,"grass, lawn within hope",hop@gra = emotional layering,emotion
hop@joy,joy within hope,hop@joy = emotional layering,emotion
hop@jum,"jump, leap with hope",hop@jum = emotionally charged action,emotion
hop@kin,"bittersweet blend: kind, gentle in hope",hop@kin,emotion
hop@lea,leader with hope,hop@lea = emotionally charged action,emotion
hop@lov,love within hope,hop@lov = emotional layering,emotion
hop@pru,"bittersweet blend: prudence, wisdom in action in hope",hop@pru,emotion
hop@pul,pulling with hope,hop@pul = emotionally charged action,emotion
hop@pus,pushing with hope,hop@pus = emotionally charged action,emotion
hop@run,"run, fast move with hope",hop@run = emotionally charged action,emotion
hop@sad,sadness within hope,hop@sad = emotional layering,emotion
hop@thr,"thread, string with hope",hop@thr = emotionally charged action,emotion
hop@wal,"wall, barrier with hope",hop@wal = emotionally charged action,emotion
hop@wro,"wrong, incorrect, mistaken within hope",hop@wro = emotional layering,emotion
hor@bad,"bad horse, equine","hor@bad = type of horse, equine",living
hor@bea,"beautiful horse, equine","hor@bea = type of horse, equine",living
hor@cat,"how horse, equine can catalyst, accelerator",hor@cat = capability,living
hor@con,"contraction horse, equine","hor@con = type of horse, equine",living
hor@goo,"good horse, equine","hor@goo = type of horse, equine",living
hor@imp,"implode, collapse horse, equine","hor@imp = type of horse, equine",living
hor@jum,"how horse, equine can jump, leap",hor@jum = capability,living
hor@lea,"how horse, equine can leader",hor@lea = capability,living
hor@nec,"neck, connect horse, equine","hor@nec = type of horse, equine",living
hor@per,"perceive, sense horse, equine","hor@per = type of horse, equine",living
hor@pul,"how horse, equine can pulling",hor@pul = capability,living
hor@pus,"how horse, equine can pushing",hor@pus = capability,living
hor@run,"how horse, equine can run, fast move",hor@run = capability,living
hor@slo,"slope, incline horse, equine","hor@slo = type of horse, equine",living
hor@str,"strong horse, equine","hor@str = type of horse, equine",living
hor@thr,"how horse, equine can thread, string",hor@thr = capability,living
hor@wal,"how horse, equine can wall, barrier",hor@wal = capability,living
hor@wea,"weak horse, equine","hor@wea = type of horse, equine",living
hos@rai,"rain, precipitation of hospital, heal",hos@rai,abstract
hot@col,"distant, aloof, calm variant of passion, anger, urgency",hot@col = property blend,physical
hot@har,"hard, resistant variant of passion, anger, urgency",hot@har = property blend,physical
hot@sof,"soft, yielding variant of passion, anger, urgency",hot@sof = property blend,physical
hot@tex,"texture, feel variant of passion, anger, urgency",hot@tex = property blend,physical
hot@wai,"wait, pause, delay variant of passion, anger, urgency",hot@wai = property blend,physical
hrt@rev,"perceive revision: reconsidering, backtracki through heart",hrt@rev,cognitive
hrt@rsn,"perceive resonant, feels right (LLM success  through heart",hrt@rsn,cognitive
hrt@sed,"perceive seed, origin through heart",hrt@sed,cognitive
hrt@see,perceive seeing through heart,hrt@see,cognitive
hrt@seh,"perceive see, perceive visually through heart",hrt@seh,cognitive
hrt@sme,perceive smelling through heart,hrt@sme,cognitive
hrt@src,"perceive search, seek, look for through heart",hrt@src,cognitive
hun@ang,"anger of hunger, appetite","hun@ang = how hunger, appetite feels",emotion
hun@ben,"bend, curve of hunger, appetite",hun@ben,abstract
hun@cal,"calm of hunger, appetite","hun@cal = how hunger, appetite feels",emotion
hun@des,"desire, want strongly, crave of hunger, appetite","hun@des = how hunger, appetite feels",emotion
hun@dia,"diameter, across of hunger, appetite","hun@dia = how hunger, appetite feels",emotion
hun@gra,"grass, lawn of hunger, appetite","hun@gra = how hunger, appetite feels",emotion
hun@hav,"have, possess, contain of hunger, appetite",hun@hav,abstract
hun@hop,"hope of hunger, appetite","hun@hop = how hunger, appetite feels",emotion
hun@joy,"joy of hunger, appetite","hun@joy = how hunger, appetite feels",emotion
hun@lov,"love of hunger, appetite","hun@lov = how hunger, appetite feels",emotion
hun@sad,"sadness of hunger, appetite","hun@sad = how hunger, appetite feels",emotion
hun@wro,"wrong, incorrect, mistaken of hunger, appetite","hun@wro = how hunger, appetite feels",emotion
hwy@std,"stadium, arena of highway, road",hwy@std,abstract
hwy@thn,"thin, narrow, slender of highway, road",hwy@thn,abstract
hyd@bre,"brief of hydrogen, H",hyd@bre,abstract
hyd@nul,"null, void of hydrogen, H",hyd@nul,abstract
hyp@abd,"abduct, infer best explanation of hypothesize, speculate, tentat",hyp@abd,cognitive
hyp@cap,"captain, commander of hypothesize, speculate, tentat",hyp@cap,cognitive
hyp@nov,"novel, new of hypothesize, speculate, tentat",hyp@nov,cognitive
