expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
mor^0.1,slight increase,mor^0.1 = slight increase,Abstract,mor,minimal,0.1,increase
mor^0.2,modest increase,mor^0.2 = modest increase,Abstract,mor,slight,0.2,increase
mor^0.3,moderate increase,mor^0.3 = moderate increase,Abstract,mor,subtle,0.3,increase
mor^0.5,substantial increase,mor^0.5 = substantial increase,Abstract,mor,moderate,0.5,increase
mor^0.7,dramatic increase,mor^0.7 = dramatic increase,Abstract,mor,strong,0.7,increase
mor^0.8,unbounded increase,mor^0.8 = unbounded increase,Abstract,mor,intense,0.8,increase
mor^0.9,unbounded increase,mor^0.9 = unbounded increase,Abstract,mor,extreme,0.9,increase
mor^1.0,unbounded increase,mor^1.0 = unbounded increase,Abstract,mor,maximum,1.0,increase
les^0.1,slight decrease,les^0.1 = slight decrease,Abstract,les,minimal,0.1,decrease
les^0.2,modest decrease,les^0.2 = modest decrease,Abstract,les,slight,0.2,decrease
les^0.3,moderate decrease,les^0.3 = moderate decrease,Abstract,les,subtle,0.3,decrease
les^0.5,substantial decrease,les^0.5 = substantial decrease,Abstract,les,moderate,0.5,decrease
les^0.7,dramatic decrease,les^0.7 = dramatic decrease,Abstract,les,strong,0.7,decrease
les^0.8,zero,les^0.8 = zero,Abstract,les,intense,0.8,decrease
les^0.9,zero,les^0.9 = zero,Abstract,les,extreme,0.9,decrease
les^1.0,zero,les^1.0 = zero,Abstract,les,maximum,1.0,decrease
use^0.1,hardly useful,use^0.1 = hardly useful,Abstract,use,minimal,0.1,utility/usefulness
use^0.2,slightly useful,use^0.2 = slightly useful,Abstract,use,slight,0.2,utility/usefulness
use^0.3,somewhat useful,use^0.3 = somewhat useful,Abstract,use,subtle,0.3,utility/usefulness
use^0.5,very useful,use^0.5 = very useful,Abstract,use,moderate,0.5,utility/usefulness
use^0.7,essential,use^0.7 = essential,Abstract,use,strong,0.7,utility/usefulness
use^0.8,absolutely indispensable,use^0.8 = absolutely indispensable,Abstract,use,intense,0.8,utility/usefulness
use^0.9,absolutely indispensable,use^0.9 = absolutely indispensable,Abstract,use,extreme,0.9,utility/usefulness
use^1.0,absolutely indispensable,use^1.0 = absolutely indispensable,Abstract,use,maximum,1.0,utility/usefulness
eas^0.1,difficult,eas^0.1 = difficult,Abstract,eas,minimal,0.1,ease
eas^0.2,somewhat difficult,eas^0.2 = somewhat difficult,Abstract,eas,slight,0.2,ease
eas^0.3,fairly difficult,eas^0.3 = fairly difficult,Abstract,eas,subtle,0.3,ease
eas^0.5,easy,eas^0.5 = easy,Abstract,eas,moderate,0.5,ease
eas^0.7,trivial,eas^0.7 = trivial,Abstract,eas,strong,0.7,ease
eas^0.8,effortless,eas^0.8 = effortless,Abstract,eas,intense,0.8,ease
eas^0.9,effortless,eas^0.9 = effortless,Abstract,eas,extreme,0.9,ease
eas^1.0,effortless,eas^1.0 = effortless,Abstract,eas,maximum,1.0,ease
val^0.1,worthless,val^0.1 = worthless,Abstract,val,minimal,0.1,value/worth
val^0.2,low value,val^0.2 = low value,Abstract,val,slight,0.2,value/worth
val^0.3,moderate value,val^0.3 = moderate value,Abstract,val,subtle,0.3,value/worth
val^0.5,highly valuable,val^0.5 = highly valuable,Abstract,val,moderate,0.5,value/worth
val^0.7,priceless,val^0.7 = priceless,Abstract,val,strong,0.7,value/worth
val^0.8,infinitely valuable,val^0.8 = infinitely valuable,Abstract,val,intense,0.8,value/worth
val^0.9,infinitely valuable,val^0.9 = infinitely valuable,Abstract,val,extreme,0.9,value/worth
val^1.0,infinitely valuable,val^1.0 = infinitely valuable,Abstract,val,maximum,1.0,value/worth
rea^0.1,nonexistent,rea^0.1 = nonexistent,Abstract,rea,minimal,0.1,reality/actuality
rea^0.2,imaginary,rea^0.2 = imaginary,Abstract,rea,slight,0.2,reality/actuality
rea^0.3,questionable,rea^0.3 = questionable,Abstract,rea,subtle,0.3,reality/actuality
rea^0.5,probably real,rea^0.5 = probably real,Abstract,rea,moderate,0.5,reality/actuality
rea^0.7,definitely real,rea^0.7 = definitely real,Abstract,rea,strong,0.7,reality/actuality
rea^0.8,absolutely real,rea^0.8 = absolutely real,Abstract,rea,intense,0.8,reality/actuality
rea^0.9,absolutely real,rea^0.9 = absolutely real,Abstract,rea,extreme,0.9,reality/actuality
rea^1.0,absolutely real,rea^1.0 = absolutely real,Abstract,rea,maximum,1.0,reality/actuality
fak^0.1,absolutely real,fak^0.1 = absolutely real,Abstract,fak,minimal,0.1,fakeness/artificiality
fak^0.2,mostly real,fak^0.2 = mostly real,Abstract,fak,slight,0.2,fakeness/artificiality
fak^0.3,partially real,fak^0.3 = partially real,Abstract,fak,subtle,0.3,fakeness/artificiality
fak^0.5,mostly fake,fak^0.5 = mostly fake,Abstract,fak,moderate,0.5,fakeness/artificiality
fak^0.7,pure illusion,fak^0.7 = pure illusion,Abstract,fak,strong,0.7,fakeness/artificiality
fak^0.8,absolute falseness,fak^0.8 = absolute falseness,Abstract,fak,intense,0.8,fakeness/artificiality
fak^0.9,absolute falseness,fak^0.9 = absolute falseness,Abstract,fak,extreme,0.9,fakeness/artificiality
fak^1.0,absolute falseness,fak^1.0 = absolute falseness,Abstract,fak,maximum,1.0,fakeness/artificiality
hot^0.1+bri^0.7,minimal hot with strong bri,hot^0.1+bri^0.7 = minimal hot with strong bri,Composite,hot|bri,minimal+strong,0.39999999999999997,thermal brightness
hot^0.1+bri^0.8,minimal hot with intense bri,hot^0.1+bri^0.8 = minimal hot with intense bri,Composite,hot|bri,minimal+intense,0.45,thermal brightness
hot^0.1+bri^0.9,minimal hot with extreme bri,hot^0.1+bri^0.9 = minimal hot with extreme bri,Composite,hot|bri,minimal+extreme,0.5,thermal brightness
hot^0.1+bri^1.0,minimal hot with maximum bri,hot^0.1+bri^1.0 = minimal hot with maximum bri,Composite,hot|bri,minimal+maximum,0.55,thermal brightness
hot^0.2+bri^0.7,slight hot with strong bri,hot^0.2+bri^0.7 = slight hot with strong bri,Composite,hot|bri,slight+strong,0.44999999999999996,thermal brightness
hot^0.2+bri^0.8,slight hot with intense bri,hot^0.2+bri^0.8 = slight hot with intense bri,Composite,hot|bri,slight+intense,0.5,thermal brightness
hot^0.2+bri^0.9,slight hot with extreme bri,hot^0.2+bri^0.9 = slight hot with extreme bri,Composite,hot|bri,slight+extreme,0.55,thermal brightness
hot^0.2+bri^1.0,slight hot with maximum bri,hot^0.2+bri^1.0 = slight hot with maximum bri,Composite,hot|bri,slight+maximum,0.6,thermal brightness
hot^0.3+bri^0.7,subtle hot with strong bri,hot^0.3+bri^0.7 = subtle hot with strong bri,Composite,hot|bri,subtle+strong,0.5,thermal brightness
hot^0.3+bri^0.8,subtle hot with intense bri,hot^0.3+bri^0.8 = subtle hot with intense bri,Composite,hot|bri,subtle+intense,0.55,thermal brightness
hot^0.3+bri^0.9,subtle hot with extreme bri,hot^0.3+bri^0.9 = subtle hot with extreme bri,Composite,hot|bri,subtle+extreme,0.6,thermal brightness
hot^0.3+bri^1.0,subtle hot with maximum bri,hot^0.3+bri^1.0 = subtle hot with maximum bri,Composite,hot|bri,subtle+maximum,0.65,thermal brightness
hot^0.5+bri^0.7,moderate hot with strong bri,hot^0.5+bri^0.7 = moderate hot with strong bri,Composite,hot|bri,moderate+strong,0.6,thermal brightness
hot^0.5+bri^0.8,moderate hot with intense bri,hot^0.5+bri^0.8 = moderate hot with intense bri,Composite,hot|bri,moderate+intense,0.65,thermal brightness
hot^0.5+bri^0.9,moderate hot with extreme bri,hot^0.5+bri^0.9 = moderate hot with extreme bri,Composite,hot|bri,moderate+extreme,0.7,thermal brightness
hot^0.5+bri^1.0,moderate hot with maximum bri,hot^0.5+bri^1.0 = moderate hot with maximum bri,Composite,hot|bri,moderate+maximum,0.75,thermal brightness
col^0.1+dim^0.7,minimal col with strong dim,col^0.1+dim^0.7 = minimal col with strong dim,Composite,col|dim,minimal+strong,0.39999999999999997,cold darkness
col^0.1+dim^0.8,minimal col with intense dim,col^0.1+dim^0.8 = minimal col with intense dim,Composite,col|dim,minimal+intense,0.45,cold darkness
col^0.1+dim^0.9,minimal col with extreme dim,col^0.1+dim^0.9 = minimal col with extreme dim,Composite,col|dim,minimal+extreme,0.5,cold darkness
col^0.1+dim^1.0,minimal col with maximum dim,col^0.1+dim^1.0 = minimal col with maximum dim,Composite,col|dim,minimal+maximum,0.55,cold darkness
col^0.2+dim^0.7,slight col with strong dim,col^0.2+dim^0.7 = slight col with strong dim,Composite,col|dim,slight+strong,0.44999999999999996,cold darkness
col^0.2+dim^0.8,slight col with intense dim,col^0.2+dim^0.8 = slight col with intense dim,Composite,col|dim,slight+intense,0.5,cold darkness
col^0.2+dim^0.9,slight col with extreme dim,col^0.2+dim^0.9 = slight col with extreme dim,Composite,col|dim,slight+extreme,0.55,cold darkness
col^0.2+dim^1.0,slight col with maximum dim,col^0.2+dim^1.0 = slight col with maximum dim,Composite,col|dim,slight+maximum,0.6,cold darkness
col^0.3+dim^0.7,subtle col with strong dim,col^0.3+dim^0.7 = subtle col with strong dim,Composite,col|dim,subtle+strong,0.5,cold darkness
col^0.3+dim^0.8,subtle col with intense dim,col^0.3+dim^0.8 = subtle col with intense dim,Composite,col|dim,subtle+intense,0.55,cold darkness
col^0.3+dim^0.9,subtle col with extreme dim,col^0.3+dim^0.9 = subtle col with extreme dim,Composite,col|dim,subtle+extreme,0.6,cold darkness
col^0.3+dim^1.0,subtle col with maximum dim,col^0.3+dim^1.0 = subtle col with maximum dim,Composite,col|dim,subtle+maximum,0.65,cold darkness
col^0.5+dim^0.7,moderate col with strong dim,col^0.5+dim^0.7 = moderate col with strong dim,Composite,col|dim,moderate+strong,0.6,cold darkness
col^0.5+dim^0.8,moderate col with intense dim,col^0.5+dim^0.8 = moderate col with intense dim,Composite,col|dim,moderate+intense,0.65,cold darkness
col^0.5+dim^0.9,moderate col with extreme dim,col^0.5+dim^0.9 = moderate col with extreme dim,Composite,col|dim,moderate+extreme,0.7,cold darkness
col^0.5+dim^1.0,moderate col with maximum dim,col^0.5+dim^1.0 = moderate col with maximum dim,Composite,col|dim,moderate+maximum,0.75,cold darkness
joy^0.1+hop^0.7,minimal joy with strong hop,joy^0.1+hop^0.7 = minimal joy with strong hop,Composite,joy|hop,minimal+strong,0.39999999999999997,optimistic happiness
joy^0.1+hop^0.8,minimal joy with intense hop,joy^0.1+hop^0.8 = minimal joy with intense hop,Composite,joy|hop,minimal+intense,0.45,optimistic happiness
joy^0.1+hop^0.9,minimal joy with extreme hop,joy^0.1+hop^0.9 = minimal joy with extreme hop,Composite,joy|hop,minimal+extreme,0.5,optimistic happiness
joy^0.1+hop^1.0,minimal joy with maximum hop,joy^0.1+hop^1.0 = minimal joy with maximum hop,Composite,joy|hop,minimal+maximum,0.55,optimistic happiness
joy^0.2+hop^0.7,slight joy with strong hop,joy^0.2+hop^0.7 = slight joy with strong hop,Composite,joy|hop,slight+strong,0.44999999999999996,optimistic happiness
joy^0.2+hop^0.8,slight joy with intense hop,joy^0.2+hop^0.8 = slight joy with intense hop,Composite,joy|hop,slight+intense,0.5,optimistic happiness
joy^0.2+hop^0.9,slight joy with extreme hop,joy^0.2+hop^0.9 = slight joy with extreme hop,Composite,joy|hop,slight+extreme,0.55,optimistic happiness
joy^0.2+hop^1.0,slight joy with maximum hop,joy^0.2+hop^1.0 = slight joy with maximum hop,Composite,joy|hop,slight+maximum,0.6,optimistic happiness
joy^0.3+hop^0.7,subtle joy with strong hop,joy^0.3+hop^0.7 = subtle joy with strong hop,Composite,joy|hop,subtle+strong,0.5,optimistic happiness
joy^0.3+hop^0.8,subtle joy with intense hop,joy^0.3+hop^0.8 = subtle joy with intense hop,Composite,joy|hop,subtle+intense,0.55,optimistic happiness
joy^0.3+hop^0.9,subtle joy with extreme hop,joy^0.3+hop^0.9 = subtle joy with extreme hop,Composite,joy|hop,subtle+extreme,0.6,optimistic happiness
joy^0.3+hop^1.0,subtle joy with maximum hop,joy^0.3+hop^1.0 = subtle joy with maximum hop,Composite,joy|hop,subtle+maximum,0.65,optimistic happiness
joy^0.5+hop^0.7,moderate joy with strong hop,joy^0.5+hop^0.7 = moderate joy with strong hop,Composite,joy|hop,moderate+strong,0.6,optimistic happiness
joy^0.5+hop^0.8,moderate joy with intense hop,joy^0.5+hop^0.8 = moderate joy with intense hop,Composite,joy|hop,moderate+intense,0.65,optimistic happiness
joy^0.5+hop^0.9,moderate joy with extreme hop,joy^0.5+hop^0.9 = moderate joy with extreme hop,Composite,joy|hop,moderate+extreme,0.7,optimistic happiness
joy^0.5+hop^1.0,moderate joy with maximum hop,joy^0.5+hop^1.0 = moderate joy with maximum hop,Composite,joy|hop,moderate+maximum,0.75,optimistic happiness
sad^0.1+des^0.7,minimal sad with strong des,sad^0.1+des^0.7 = minimal sad with strong des,Composite,sad|des,minimal+strong,0.39999999999999997,hopeless sadness
sad^0.1+des^0.8,minimal sad with intense des,sad^0.1+des^0.8 = minimal sad with intense des,Composite,sad|des,minimal+intense,0.45,hopeless sadness
sad^0.1+des^0.9,minimal sad with extreme des,sad^0.1+des^0.9 = minimal sad with extreme des,Composite,sad|des,minimal+extreme,0.5,hopeless sadness
sad^0.1+des^1.0,minimal sad with maximum des,sad^0.1+des^1.0 = minimal sad with maximum des,Composite,sad|des,minimal+maximum,0.55,hopeless sadness
sad^0.2+des^0.7,slight sad with strong des,sad^0.2+des^0.7 = slight sad with strong des,Composite,sad|des,slight+strong,0.44999999999999996,hopeless sadness
sad^0.2+des^0.8,slight sad with intense des,sad^0.2+des^0.8 = slight sad with intense des,Composite,sad|des,slight+intense,0.5,hopeless sadness
sad^0.2+des^0.9,slight sad with extreme des,sad^0.2+des^0.9 = slight sad with extreme des,Composite,sad|des,slight+extreme,0.55,hopeless sadness
sad^0.2+des^1.0,slight sad with maximum des,sad^0.2+des^1.0 = slight sad with maximum des,Composite,sad|des,slight+maximum,0.6,hopeless sadness
sad^0.3+des^0.7,subtle sad with strong des,sad^0.3+des^0.7 = subtle sad with strong des,Composite,sad|des,subtle+strong,0.5,hopeless sadness
sad^0.3+des^0.8,subtle sad with intense des,sad^0.3+des^0.8 = subtle sad with intense des,Composite,sad|des,subtle+intense,0.55,hopeless sadness
sad^0.3+des^0.9,subtle sad with extreme des,sad^0.3+des^0.9 = subtle sad with extreme des,Composite,sad|des,subtle+extreme,0.6,hopeless sadness
sad^0.3+des^1.0,subtle sad with maximum des,sad^0.3+des^1.0 = subtle sad with maximum des,Composite,sad|des,subtle+maximum,0.65,hopeless sadness
sad^0.5+des^0.7,moderate sad with strong des,sad^0.5+des^0.7 = moderate sad with strong des,Composite,sad|des,moderate+strong,0.6,hopeless sadness
sad^0.5+des^0.8,moderate sad with intense des,sad^0.5+des^0.8 = moderate sad with intense des,Composite,sad|des,moderate+intense,0.65,hopeless sadness
sad^0.5+des^0.9,moderate sad with extreme des,sad^0.5+des^0.9 = moderate sad with extreme des,Composite,sad|des,moderate+extreme,0.7,hopeless sadness
sad^0.5+des^1.0,moderate sad with maximum des,sad^0.5+des^1.0 = moderate sad with maximum des,Composite,sad|des,moderate+maximum,0.75,hopeless sadness
lov^0.1+tru^0.7,minimal lov with strong tru,lov^0.1+tru^0.7 = minimal lov with strong tru,Composite,lov|tru,minimal+strong,0.39999999999999997,trusting love
lov^0.1+tru^0.8,minimal lov with intense tru,lov^0.1+tru^0.8 = minimal lov with intense tru,Composite,lov|tru,minimal+intense,0.45,trusting love
lov^0.1+tru^0.9,minimal lov with extreme tru,lov^0.1+tru^0.9 = minimal lov with extreme tru,Composite,lov|tru,minimal+extreme,0.5,trusting love
lov^0.1+tru^1.0,minimal lov with maximum tru,lov^0.1+tru^1.0 = minimal lov with maximum tru,Composite,lov|tru,minimal+maximum,0.55,trusting love
lov^0.2+tru^0.7,slight lov with strong tru,lov^0.2+tru^0.7 = slight lov with strong tru,Composite,lov|tru,slight+strong,0.44999999999999996,trusting love
lov^0.2+tru^0.8,slight lov with intense tru,lov^0.2+tru^0.8 = slight lov with intense tru,Composite,lov|tru,slight+intense,0.5,trusting love
lov^0.2+tru^0.9,slight lov with extreme tru,lov^0.2+tru^0.9 = slight lov with extreme tru,Composite,lov|tru,slight+extreme,0.55,trusting love
lov^0.2+tru^1.0,slight lov with maximum tru,lov^0.2+tru^1.0 = slight lov with maximum tru,Composite,lov|tru,slight+maximum,0.6,trusting love
lov^0.3+tru^0.7,subtle lov with strong tru,lov^0.3+tru^0.7 = subtle lov with strong tru,Composite,lov|tru,subtle+strong,0.5,trusting love
lov^0.3+tru^0.8,subtle lov with intense tru,lov^0.3+tru^0.8 = subtle lov with intense tru,Composite,lov|tru,subtle+intense,0.55,trusting love
lov^0.3+tru^0.9,subtle lov with extreme tru,lov^0.3+tru^0.9 = subtle lov with extreme tru,Composite,lov|tru,subtle+extreme,0.6,trusting love
lov^0.3+tru^1.0,subtle lov with maximum tru,lov^0.3+tru^1.0 = subtle lov with maximum tru,Composite,lov|tru,subtle+maximum,0.65,trusting love
lov^0.5+tru^0.7,moderate lov with strong tru,lov^0.5+tru^0.7 = moderate lov with strong tru,Composite,lov|tru,moderate+strong,0.6,trusting love
lov^0.5+tru^0.8,moderate lov with intense tru,lov^0.5+tru^0.8 = moderate lov with intense tru,Composite,lov|tru,moderate+intense,0.65,trusting love
lov^0.5+tru^0.9,moderate lov with extreme tru,lov^0.5+tru^0.9 = moderate lov with extreme tru,Composite,lov|tru,moderate+extreme,0.7,trusting love
lov^0.5+tru^1.0,moderate lov with maximum tru,lov^0.5+tru^1.0 = moderate lov with maximum tru,Composite,lov|tru,moderate+maximum,0.75,trusting love
ang^0.1+hat^0.7,minimal ang with strong hat,ang^0.1+hat^0.7 = minimal ang with strong hat,Composite,ang|hat,minimal+strong,0.39999999999999997,righteous anger
ang^0.1+hat^0.8,minimal ang with intense hat,ang^0.1+hat^0.8 = minimal ang with intense hat,Composite,ang|hat,minimal+intense,0.45,righteous anger
ang^0.1+hat^0.9,minimal ang with extreme hat,ang^0.1+hat^0.9 = minimal ang with extreme hat,Composite,ang|hat,minimal+extreme,0.5,righteous anger
ang^0.1+hat^1.0,minimal ang with maximum hat,ang^0.1+hat^1.0 = minimal ang with maximum hat,Composite,ang|hat,minimal+maximum,0.55,righteous anger
ang^0.2+hat^0.7,slight ang with strong hat,ang^0.2+hat^0.7 = slight ang with strong hat,Composite,ang|hat,slight+strong,0.44999999999999996,righteous anger
ang^0.2+hat^0.8,slight ang with intense hat,ang^0.2+hat^0.8 = slight ang with intense hat,Composite,ang|hat,slight+intense,0.5,righteous anger
ang^0.2+hat^0.9,slight ang with extreme hat,ang^0.2+hat^0.9 = slight ang with extreme hat,Composite,ang|hat,slight+extreme,0.55,righteous anger
ang^0.2+hat^1.0,slight ang with maximum hat,ang^0.2+hat^1.0 = slight ang with maximum hat,Composite,ang|hat,slight+maximum,0.6,righteous anger
ang^0.3+hat^0.7,subtle ang with strong hat,ang^0.3+hat^0.7 = subtle ang with strong hat,Composite,ang|hat,subtle+strong,0.5,righteous anger
ang^0.3+hat^0.8,subtle ang with intense hat,ang^0.3+hat^0.8 = subtle ang with intense hat,Composite,ang|hat,subtle+intense,0.55,righteous anger
ang^0.3+hat^0.9,subtle ang with extreme hat,ang^0.3+hat^0.9 = subtle ang with extreme hat,Composite,ang|hat,subtle+extreme,0.6,righteous anger
ang^0.3+hat^1.0,subtle ang with maximum hat,ang^0.3+hat^1.0 = subtle ang with maximum hat,Composite,ang|hat,subtle+maximum,0.65,righteous anger
ang^0.5+hat^0.7,moderate ang with strong hat,ang^0.5+hat^0.7 = moderate ang with strong hat,Composite,ang|hat,moderate+strong,0.6,righteous anger
ang^0.5+hat^0.8,moderate ang with intense hat,ang^0.5+hat^0.8 = moderate ang with intense hat,Composite,ang|hat,moderate+intense,0.65,righteous anger
ang^0.5+hat^0.9,moderate ang with extreme hat,ang^0.5+hat^0.9 = moderate ang with extreme hat,Composite,ang|hat,moderate+extreme,0.7,righteous anger
ang^0.5+hat^1.0,moderate ang with maximum hat,ang^0.5+hat^1.0 = moderate ang with maximum hat,Composite,ang|hat,moderate+maximum,0.75,righteous anger
str^0.1+will^0.7,minimal str with strong will,str^0.1+will^0.7 = minimal str with strong will,Composite,str|will,minimal+strong,0.39999999999999997,determined strength
str^0.1+will^0.8,minimal str with intense will,str^0.1+will^0.8 = minimal str with intense will,Composite,str|will,minimal+intense,0.45,determined strength
str^0.1+will^0.9,minimal str with extreme will,str^0.1+will^0.9 = minimal str with extreme will,Composite,str|will,minimal+extreme,0.5,determined strength
str^0.1+will^1.0,minimal str with maximum will,str^0.1+will^1.0 = minimal str with maximum will,Composite,str|will,minimal+maximum,0.55,determined strength
str^0.2+will^0.7,slight str with strong will,str^0.2+will^0.7 = slight str with strong will,Composite,str|will,slight+strong,0.44999999999999996,determined strength
str^0.2+will^0.8,slight str with intense will,str^0.2+will^0.8 = slight str with intense will,Composite,str|will,slight+intense,0.5,determined strength
str^0.2+will^0.9,slight str with extreme will,str^0.2+will^0.9 = slight str with extreme will,Composite,str|will,slight+extreme,0.55,determined strength
str^0.2+will^1.0,slight str with maximum will,str^0.2+will^1.0 = slight str with maximum will,Composite,str|will,slight+maximum,0.6,determined strength
str^0.3+will^0.7,subtle str with strong will,str^0.3+will^0.7 = subtle str with strong will,Composite,str|will,subtle+strong,0.5,determined strength
str^0.3+will^0.8,subtle str with intense will,str^0.3+will^0.8 = subtle str with intense will,Composite,str|will,subtle+intense,0.55,determined strength
str^0.3+will^0.9,subtle str with extreme will,str^0.3+will^0.9 = subtle str with extreme will,Composite,str|will,subtle+extreme,0.6,determined strength
str^0.3+will^1.0,subtle str with maximum will,str^0.3+will^1.0 = subtle str with maximum will,Composite,str|will,subtle+maximum,0.65,determined strength
str^0.5+will^0.7,moderate str with strong will,str^0.5+will^0.7 = moderate str with strong will,Composite,str|will,moderate+strong,0.6,determined strength
str^0.5+will^0.8,moderate str with intense will,str^0.5+will^0.8 = moderate str with intense will,Composite,str|will,moderate+intense,0.65,determined strength
str^0.5+will^0.9,moderate str with extreme will,str^0.5+will^0.9 = moderate str with extreme will,Composite,str|will,moderate+extreme,0.7,determined strength
str^0.5+will^1.0,moderate str with maximum will,str^0.5+will^1.0 = moderate str with maximum will,Composite,str|will,moderate+maximum,0.75,determined strength
lit^0.1+mov^0.7,minimal lit with strong mov,lit^0.1+mov^0.7 = minimal lit with strong mov,Composite,lit|mov,minimal+strong,0.39999999999999997,light movement
lit^0.1+mov^0.8,minimal lit with intense mov,lit^0.1+mov^0.8 = minimal lit with intense mov,Composite,lit|mov,minimal+intense,0.45,light movement
lit^0.1+mov^0.9,minimal lit with extreme mov,lit^0.1+mov^0.9 = minimal lit with extreme mov,Composite,lit|mov,minimal+extreme,0.5,light movement
lit^0.1+mov^1.0,minimal lit with maximum mov,lit^0.1+mov^1.0 = minimal lit with maximum mov,Composite,lit|mov,minimal+maximum,0.55,light movement
lit^0.2+mov^0.7,slight lit with strong mov,lit^0.2+mov^0.7 = slight lit with strong mov,Composite,lit|mov,slight+strong,0.44999999999999996,light movement
lit^0.2+mov^0.8,slight lit with intense mov,lit^0.2+mov^0.8 = slight lit with intense mov,Composite,lit|mov,slight+intense,0.5,light movement
lit^0.2+mov^0.9,slight lit with extreme mov,lit^0.2+mov^0.9 = slight lit with extreme mov,Composite,lit|mov,slight+extreme,0.55,light movement
lit^0.2+mov^1.0,slight lit with maximum mov,lit^0.2+mov^1.0 = slight lit with maximum mov,Composite,lit|mov,slight+maximum,0.6,light movement
lit^0.3+mov^0.7,subtle lit with strong mov,lit^0.3+mov^0.7 = subtle lit with strong mov,Composite,lit|mov,subtle+strong,0.5,light movement
lit^0.3+mov^0.8,subtle lit with intense mov,lit^0.3+mov^0.8 = subtle lit with intense mov,Composite,lit|mov,subtle+intense,0.55,light movement
lit^0.3+mov^0.9,subtle lit with extreme mov,lit^0.3+mov^0.9 = subtle lit with extreme mov,Composite,lit|mov,subtle+extreme,0.6,light movement
lit^0.3+mov^1.0,subtle lit with maximum mov,lit^0.3+mov^1.0 = subtle lit with maximum mov,Composite,lit|mov,subtle+maximum,0.65,light movement
lit^0.5+mov^0.7,moderate lit with strong mov,lit^0.5+mov^0.7 = moderate lit with strong mov,Composite,lit|mov,moderate+strong,0.6,light movement
lit^0.5+mov^0.8,moderate lit with intense mov,lit^0.5+mov^0.8 = moderate lit with intense mov,Composite,lit|mov,moderate+intense,0.65,light movement
lit^0.5+mov^0.9,moderate lit with extreme mov,lit^0.5+mov^0.9 = moderate lit with extreme mov,Composite,lit|mov,moderate+extreme,0.7,light movement
lit^0.5+mov^1.0,moderate lit with maximum mov,lit^0.5+mov^1.0 = moderate lit with maximum mov,Composite,lit|mov,moderate+maximum,0.75,light movement
mag^0.1+str^0.7,minimal mag with strong str,mag^0.1+str^0.7 = minimal mag with strong str,Composite,mag|str,minimal+strong,0.39999999999999997,powerful size
mag^0.1+str^0.8,minimal mag with intense str,mag^0.1+str^0.8 = minimal mag with intense str,Composite,mag|str,minimal+intense,0.45,powerful size
mag^0.1+str^0.9,minimal mag with extreme str,mag^0.1+str^0.9 = minimal mag with extreme str,Composite,mag|str,minimal+extreme,0.5,powerful size
mag^0.1+str^1.0,minimal mag with maximum str,mag^0.1+str^1.0 = minimal mag with maximum str,Composite,mag|str,minimal+maximum,0.55,powerful size
mag^0.2+str^0.7,slight mag with strong str,mag^0.2+str^0.7 = slight mag with strong str,Composite,mag|str,slight+strong,0.44999999999999996,powerful size
mag^0.2+str^0.8,slight mag with intense str,mag^0.2+str^0.8 = slight mag with intense str,Composite,mag|str,slight+intense,0.5,powerful size
mag^0.2+str^0.9,slight mag with extreme str,mag^0.2+str^0.9 = slight mag with extreme str,Composite,mag|str,slight+extreme,0.55,powerful size
mag^0.2+str^1.0,slight mag with maximum str,mag^0.2+str^1.0 = slight mag with maximum str,Composite,mag|str,slight+maximum,0.6,powerful size
mag^0.3+str^0.7,subtle mag with strong str,mag^0.3+str^0.7 = subtle mag with strong str,Composite,mag|str,subtle+strong,0.5,powerful size
mag^0.3+str^0.8,subtle mag with intense str,mag^0.3+str^0.8 = subtle mag with intense str,Composite,mag|str,subtle+intense,0.55,powerful size
mag^0.3+str^0.9,subtle mag with extreme str,mag^0.3+str^0.9 = subtle mag with extreme str,Composite,mag|str,subtle+extreme,0.6,powerful size
mag^0.3+str^1.0,subtle mag with maximum str,mag^0.3+str^1.0 = subtle mag with maximum str,Composite,mag|str,subtle+maximum,0.65,powerful size
mag^0.5+str^0.7,moderate mag with strong str,mag^0.5+str^0.7 = moderate mag with strong str,Composite,mag|str,moderate+strong,0.6,powerful size
mag^0.5+str^0.8,moderate mag with intense str,mag^0.5+str^0.8 = moderate mag with intense str,Composite,mag|str,moderate+intense,0.65,powerful size
mag^0.5+str^0.9,moderate mag with extreme str,mag^0.5+str^0.9 = moderate mag with extreme str,Composite,mag|str,moderate+extreme,0.7,powerful size
mag^0.5+str^1.0,moderate mag with maximum str,mag^0.5+str^1.0 = moderate mag with maximum str,Composite,mag|str,moderate+maximum,0.75,powerful size
gro^0.1+thi^0.7,minimal gro with strong thi,gro^0.1+thi^0.7 = minimal gro with strong thi,Composite,gro|thi,minimal+strong,0.39999999999999997,thoughtful growth
gro^0.1+thi^0.8,minimal gro with intense thi,gro^0.1+thi^0.8 = minimal gro with intense thi,Composite,gro|thi,minimal+intense,0.45,thoughtful growth
gro^0.1+thi^0.9,minimal gro with extreme thi,gro^0.1+thi^0.9 = minimal gro with extreme thi,Composite,gro|thi,minimal+extreme,0.5,thoughtful growth
gro^0.1+thi^1.0,minimal gro with maximum thi,gro^0.1+thi^1.0 = minimal gro with maximum thi,Composite,gro|thi,minimal+maximum,0.55,thoughtful growth
